Length,Height,
1.204,0.74,0.146
1.247,0.734,0.149
1.291,0.705,0.133
1.162,0.672,0.138
1.156,0.768,0.17
1.225,0.745,0.156
1.197,0.733,0.132
1.164,0.66,0.134
1.236,0.712,0.163
1.056,0.665,0.156
1.204,0.687,0.153
1.115,0.64,0.143
1.051,0.685,0.153
1.248,0.741,0.14
0.966,0.571,0.107
0.728,0.4,0.067
1.199,0.692,0.144
0.804,0.467,0.087
0.817,0.532,0.108
1.21,0.684,0.138
1.226,0.696,0.142
1.219,0.711,0.115
1.205,0.603,0.123
1.062,0.593,0.122
0.952,0.517,0.12
1.295,0.758,0.135
1.143,0.645,0.159
1.156,0.71,0.14
1.174,0.748,0.148
0.752,0.426,0.074
1.195,0.667,0.121
1.085,0.535,0.123
1.066,0.594,0.101
1.224,0.714,0.142
1.123,0.667,0.124
1.182,0.618,0.142
1.261,0.76,0.133
1.275,0.743,0.124
1.113,0.662,0.126
1.622,0.999,0.219
1.013,0.731,0.129
1.183,0.739,0.155
0.841,0.509,0.096
1.195,0.662,0.141
1.128,0.712,0.119
0.791,0.569,0.085
1.285,0.731,0.121
1.11,0.676,0.106
1.606,0.999,0.239
1.079,0.682,0.157
1.268,0.585,0.128
1.154,0.53,0.101
1.569,0.959,0.215
0.773,0.461,0.087
1.226,0.658,0.097
1.129,0.618,0.127
1.188,0.627,0.122
2.008,1.121,0.283
1.068,0.622,0.118
0.872,0.451,0.099
0.929,0.553,0.117
1.053,0.674,0.093
1.063,0.569,0.097
1.907,1.198,0.198
2.001,1.222,0.202
1.184,0.555,0.145
0.589,0.4,0.071
0.945,0.487,0.101
1.094,0.639,0.143
0.665,0.428,0.048
0.813,0.491,0.108
0.877,0.531,0.137
1.207,0.637,0.127
0.898,0.546,0.112
2.009,1.191,0.226
0.659,0.463,0.077
0.801,0.581,0.083
0.65,0.41,0.07
1.298,0.721,0.14
0.916,0.568,0.114
0.751,0.427,0.082
1.253,0.714,0.123
1.048,0.592,0.116
0.882,0.528,0.063
1.179,0.703,0.137
1.177,0.706,0.095
0.703,0.494,0.085
1.077,0.774,0.123
1.179,0.754,0.141
0.834,0.421,0.103
1.184,0.704,0.121
0.942,0.577,0.107
1.228,0.702,0.108
0.852,0.421,0.072
2.036,1.199,0.186
0.964,0.439,0.083
1.192,0.736,0.125
0.664,0.373,0.077
0.89,0.532,0.054
0.84,0.543,0.119
0.927,0.539,0.087
1.028,0.629,0.098
0.767,0.48,0.122
0.875,0.494,0.085
0.895,0.567,0.103
1.225,0.67,0.131
1.096,0.645,0.106
0.695,0.384,0.062
2.053,1.183,0.195
1.081,0.649,0.114
1.189,0.547,0.093
1.038,0.541,0.09
0.836,0.444,0.097
0.717,0.437,0.059
1.967,1.216,0.184
1.238,0.711,0.124
1.134,0.702,0.127
1.196,0.665,0.13
1.279,0.775,0.116
1.166,0.671,0.135
0.717,0.408,0.07
1.117,0.566,0.12
2.132,1.294,0.206
1.138,0.633,0.126
0.726,0.433,0.072
2.081,1.216,0.179
0.758,0.422,0.077
0.773,0.485,0.064
1.289,0.752,0.139
0.676,0.457,0.078
0.747,0.405,0.075
0.754,0.389,0.063
0.691,0.439,0.088
1.17,0.691,0.138
0.907,0.404,0.071
1.146,0.654,0.116
1.635,0.918,0.211
1.28,0.775,0.119
0.797,0.437,0.075
0.786,0.486,0.073
0.714,0.424,0.091
0.716,0.434,0.089
0.722,0.432,0.08
1.565,0.844,0.22
2.079,1.232,0.168
0.661,0.429,0.076
0.716,0.464,0.069
1.004,0.549,0.097
0.713,0.419,0.068
0.75,0.417,0.078
1.021,0.568,0.092
0.705,0.424,0.087
1.667,0.996,0.228
1.145,0.741,0.126
1.051,0.617,0.112
1.238,0.733,0.157
1.168,0.701,0.128
1.17,0.714,0.142
1.177,0.656,0.15
0.996,0.592,0.117
1.189,0.752,0.133
1.163,0.71,0.119
1.307,0.802,0.142
0.667,0.423,0.07
2.032,1.215,0.229
1.111,0.639,0.15
1.21,0.732,0.116
1.131,0.665,0.153
0.698,0.394,0.069
2.237,1.189,0.198
1.174,0.68,0.135
1.252,0.732,0.154
1.13,0.65,0.12
1.104,0.634,0.124
1.248,0.69,0.119
1.051,0.731,0.127
0.983,0.583,0.139
1.124,0.676,0.135
1.168,0.706,0.117
1.077,0.638,0.139
1.099,0.7,0.1
0.941,0.564,0.12
1.181,0.647,0.146
0.995,0.601,0.106
1.087,0.675,0.129
1.077,0.644,0.125
1.093,0.631,0.114
1.121,0.695,0.135
1.168,0.708,0.157
1.174,0.619,0.126
1.241,0.704,0.132
0.966,0.601,0.111
1.19,0.697,0.124
1.134,0.676,0.134
0.702,0.463,0.063
1.194,0.74,0.136
0.673,0.418,0.069
0.794,0.51,0.068
0.791,0.42,0.067
1.203,0.78,0.127
1.171,0.751,0.135
0.641,0.429,0.083
1.213,0.731,0.137
1.235,0.665,0.135
1.941,1.129,0.203
0.701,0.431,0.072
1.241,0.633,0.128
1.183,0.641,0.127
1.189,0.665,0.138
1.156,0.634,0.106
1.106,0.681,0.135
0.989,0.672,0.107
0.905,0.567,0.105
0.672,0.441,0.057
1.19,0.715,0.141
1.095,0.711,0.133
2.135,1.22,0.199
2.08,1.243,0.209
0.668,0.447,0.072
0.921,0.562,0.102
1.198,0.733,0.156
1.231,0.727,0.136
1.154,0.697,0.139
1.202,0.718,0.135
0.682,0.464,0.071
0.705,0.437,0.077
0.995,0.573,0.135
0.694,0.433,0.071
1.246,0.771,0.12
0.892,0.554,0.102
1.098,0.628,0.129
0.823,0.589,0.081
0.715,0.383,0.085
0.593,0.389,0.068
2.109,1.152,0.19
0.838,0.538,0.115
2.066,1.231,0.19
0.681,0.385,0.05
1.219,0.707,0.125
1.157,0.67,0.105
0.855,0.482,0.086
1.231,0.746,0.121
0.713,0.409,0.07
0.716,0.442,0.066
0.691,0.415,0.066
0.713,0.446,0.067
0.715,0.395,0.065
0.733,0.436,0.068
1.588,0.947,0.11
1.923,1.164,0.113
1.479,0.867,0.11
1.987,1.186,0.188
1.471,0.864,0.116
1.172,0.688,0.085
1.232,0.76,0.094
1.075,0.626,0.064
0.844,0.505,0.042
0.709,0.432,0.037
0.826,0.491,0.038
0.825,0.497,0.055
0.878,0.528,0.042
0.84,0.509,0.053
0.878,0.532,0.043
0.838,0.517,0.044
0.854,0.53,0.044
0.855,0.502,0.053
0.875,0.533,0.044
0.726,0.445,0.031
0.847,0.506,0.063
0.782,0.486,0.042
0.787,0.476,0.04
0.861,0.532,0.05
0.851,0.508,0.022
0.883,0.532,0.045
0.786,0.477,0.038
0.765,0.447,0.037
0.839,0.495,0.053
0.81,0.502,0.053
0.858,0.522,0.051
0.871,0.539,0.065
0.834,0.509,0.082
0.787,0.479,0.049
0.848,0.519,0.044
0.888,0.544,0.047
0.889,0.55,0.044
0.9,0.537,0.037
0.863,0.542,0.036
1.013,0.626,0.078
0.877,0.522,0.051
0.917,0.542,0.047
0.863,0.507,0.04
0.951,0.588,0.053
0.867,0.507,0.056
0.797,0.497,0.047
0.897,0.516,0.05
0.71,0.449,0.033
0.702,0.436,0.037
0.891,0.535,0.049
0.775,0.463,0.031
0.685,0.443,0.035
0.693,0.437,0.036
0.699,0.437,0.035
0.894,0.516,0.044
0.81,0.505,0.046
0.882,0.518,0.05
0.864,0.509,0.055
0.893,0.54,0.043
0.769,0.425,0.062
0.86,0.513,0.05
0.888,0.521,0.056
0.852,0.504,0.044
0.867,0.536,0.038
0.851,0.519,0.049
0.882,0.522,0.05
0.871,0.509,0.071
0.879,0.546,0.045
0.835,0.477,0.05
0.524,0.339,0.044
0.5,0.315,0.037
0.506,0.322,0.035
0.504,0.323,0.031
0.511,0.319,0.027
0.62,0.359,0.057
0.663,0.419,0.059
0.646,0.398,0.076
0.692,0.445,0.058
0.626,0.362,0.031
0.641,0.398,0.048
0.641,0.398,0.031
0.616,0.408,0.054
0.639,0.406,0.044
2.08,1.186,0.236
1.519,0.918,0.24
1.568,0.918,0.257
2.009,1.141,0.21
1.912,1.114,0.232
1.567,0.844,0.202
2.09,1.216,0.228
1.46,0.889,0.244
1.593,0.887,0.236
2.034,1.181,0.218
1.574,0.888,0.209
1.625,1.044,0.255
1.681,0.937,0.251
1.467,0.877,0.218
1.616,0.947,0.224
1.539,0.951,0.31
1.199,0.722,0.131
1.52,0.91,0.234
1.624,0.911,0.266
1.547,0.953,0.225
1.575,0.916,0.231
1.539,0.886,0.266
1.52,0.893,0.27
1.564,0.916,0.257
1.533,0.898,0.231
1.545,0.859,0.248
1.98,1.212,0.222
1.616,0.968,0.279
1.969,1.135,0.203
1.913,1.074,0.22
1.948,1.104,0.241
1.971,1.15,0.204
1.624,0.863,0.223
2.118,1.204,0.202
2.091,1.153,0.243
2.015,1.144,0.223
2.036,1.209,0.242
1.897,1.134,0.187
1.874,1.025,0.179
1.887,1.045,0.249
1.817,1.065,0.217
2.145,1.299,0.258
1.615,0.947,0.241
1.571,0.888,0.21
1.508,0.894,0.153
1.993,1.122,0.271
1.549,0.908,0.266
1.598,0.913,0.238
1.946,1.124,0.225
1.595,0.922,0.226
1.554,0.869,0.213
1.58,0.888,0.269
1.969,1.148,0.239
1.986,1.163,0.227
1.601,0.931,0.195
1.443,0.879,0.238
1.526,0.868,0.204
1.978,1.128,0.229
1.925,1.078,0.208
1.972,1.139,0.245
1.948,1.143,0.233
1.54,0.906,0.224
2,1.133,0.188
1.592,0.909,0.22
1.511,0.863,0.22
1.913,1.1,0.18
1.275,0.731,0.106
1.616,0.902,0.198
1.612,0.897,0.246
1.935,1.088,0.226
1.934,1.052,0.096
1.582,0.884,0.234
1.567,0.891,0.256
1.631,0.861,0.235
1.645,0.927,0.191
1.323,0.756,0.125
1.661,0.919,0.224
2.044,1.176,0.186
1.564,0.912,0.23
1.613,0.904,0.218
1.512,0.916,0.226
1.589,0.905,0.223
1.543,0.884,0.214
1.564,0.867,0.209
1.939,1.103,0.236
1.919,1.115,0.235
1.948,1.149,0.127
1.536,0.918,0.262
1.58,0.942,0.232
1.549,0.891,0.262
1.581,0.93,0.241
1.539,0.924,0.248
1.532,0.915,0.234
1.621,0.916,0.207
1.556,0.894,0.222
1.596,0.922,0.226
1.917,1.099,0.23
1.699,0.887,0.261
1.531,0.886,0.274
1.523,0.885,0.216
1.007,0.584,0.155
1.091,0.611,0.141
1.594,0.901,0.267
1.973,1.094,0.257
1.977,1.161,0.218
1.566,0.896,0.188
1.99,1.14,0.258
1.503,0.857,0.255
1.415,0.808,0.182
1.885,1.073,0.257
1.644,0.995,0.274
1.262,0.743,0.187
1.509,0.87,0.2699
1.595,0.943,0.269
1.583,0.884,0.238
1.721,0.87,0.235
1.038,0.667,0.166
1.039,0.614,0.094
1.522,0.901,0.261
1.242,0.725,0.143
1.237,0.7375,0.145
1.537,0.912,0.178
1.63,0.939,0.257
1.258,0.746,0.146
1.438,0.829,0.164
1.588,0.896,0.22
1.188,0.697,0.154
1.291,0.761,0.115
1.235,0.71,0.128
1.046,0.632,0.101
1.013,0.607,0.119
1.243,0.754,0.135
1.033,0.606,0.103
1.089,0.658,0.129
1.607,0.945,0.238
1.668,0.962,0.216
1.581,0.898,0.193
1.929,1.25,0.181
1.958,1.2,0.173
1.681,0.948,0.216
1.618,0.91,0.198
2.004,1.198,0.202
1.752,1.005,0.229
1.635,0.945,0.26
1.617,0.976,0.247
1.716,0.998,0.181
1.661,0.951,0.195
0.627,0.364,0.103
1.862,1.066,0.217
1.909,1.097,0.188
1.52,0.855,0.239
1.631,0.922,0.192
1.979,1.12,0.199
1.94,1.248,0.24
1.949,1.165,0.227
1.853,1.085,0.221
1.585,0.968,0.244
1.929,1.114,0.191
1.595,0.9,0.237
1.837,1.083,0.193
1.607,0.945,0.238
1.668,0.962,0.216
1.581,0.898,0.193
1.681,0.948,0.216
1.618,0.91,0.198
1.582,0.946,0.118
1.579,0.908,0.205
1.601,0.92,0.241
0.41,0.33,0.08
0.41,0.31,0.06
0.41,0.31,0.06
0.42,0.33,0.06
0.41,0.33,0.06
0.41,0.31,0.08
0.42,0.33,0.06
0.4,0.32,0.06
0.41,0.31,0.06
0.43,0.33,0.06
0.42,0.33,0.08
0.41,0.33,0.09
0.43,0.34,0.07
0.43,0.33,0.09
0.41,0.33,0.07
0.42,0.34,0.05
0.42,0.33,0.07
0.42,0.34,0.07
0.41,0.33,0.06
0.42,0.32,0.06
0.42,0.32,0.06
0.42,0.33,0.08
0.43,0.34,0.07
0.42,0.33,0.07
0.4,0.32,0.07
0.42,0.33,0.06
0.41,0.32,0.06
0.41,0.32,0.06
0.41,0.32,0.07
0.4,0.33,0.06
0.4,0.32,0.06
0.41,0.31,0.06
0.4,0.33,0.07
0.4,0.32,0.06
0.41,0.32,0.06
0.41,0.32,0.07
0.41,0.32,0.06
0.4,0.33,0.06
0.39,0.32,0.06
0.39,0.34,0.07
0.4,0.33,0.06
0.39,0.33,0.05
0.4,0.32,0.06
0.39,0.32,0.06
0.41,0.33,0.07
0.41,0.33,0.06
0.4,0.31,0.06
0.41,0.32,0.07
0.41,0.33,0.06
0.42,0.34,0.07
0.42,0.33,0.06
0.42,0.33,0.06
0.41,0.32,0.06
0.42,0.33,0.06
0.42,0.33,0.05
0.42,0.34,0.07
0.41,0.33,0.06
0.43,0.33,0.07
0.41,0.31,0.06
0.39,0.32,0.06
0.41,0.32,0.08
0.4,0.31,0.05
0.39,0.31,0.05
0.41,0.32,0.06
0.4,0.31,0.06
0.42,0.33,0.06
0.43,0.33,0.09
0.44,0.33,0.07
0.43,0.33,0.08
0.42,0.33,0.06
0.4,0.33,0.07
0.41,0.31,0.07
0.43,0.34,0.07
0.4,0.34,0.06
0.41,0.34,0.05
0.39,0.32,0.07
0.42,0.33,0.07
0.42,0.32,0.07
0.64,0.41,0.07
0.73,0.46,0.06
0.7,0.43,0.06
0.71,0.46,0.07
0.71,0.48,0.08
0.73,0.46,0.08
0.72,0.45,0.09
0.74,0.47,0.08
0.69,0.45,0.09
0.72,0.42,0.07
0.64,0.42,0.07
0.57,0.38,0.07
0.69,0.41,0.07
0.61,0.37,0.07
0.61,0.41,0.07
0.62,0.39,0.05
0.71,0.43,0.08
0.55,0.39,0.06
0.73,0.46,0.06
0.74,0.47,0.08
0.73,0.46,0.08
0.61,0.41,0.07
0.62,0.42,0.07
0.65,0.42,0.06
0.65,0.41,0.07
0.69,0.46,0.08
0.5,0.39,0.06
0.89,0.57,0.09
0.84,0.55,0.09
0.7,0.44,0.07
0.7,0.51,0.09
0.66,0.45,0.1
0.57,0.38,0.08
0.62,0.4,0.07
0.55,0.42,0.06
0.69,0.43,0.07
0.63,0.43,0.08
0.67,0.44,0.08
0.66,0.43,0.07
0.73,0.46,0.08